fold,model,params,roc_auc,accuracy,precision,recall,f1
3,tree,"{""max_depth"": 12, ""min_samples_leaf"": 1}",0.5071027849596399,0.5008893104879351,0.5022549087629223,0.4282925097621583,0.4623343445633083
3,tree,"{""max_depth"": 12, ""min_samples_leaf"": 5}",0.5122394473025669,0.5037647477322582,0.5056039850560399,0.4323748668796592,0.4661308840413318
3,tree,"{""max_depth"": 12, ""min_samples_leaf"": 10}",0.5051291630757356,0.4997035631706883,0.5008591655783903,0.4311324103656372,0.4633874916536835
3,tree,"{""max_depth"": 16, ""min_samples_leaf"": 1}",0.5063600798221508,0.49875496531689095,0.4996869689652088,0.33055259732576026,0.39789196310935443
3,tree,"{""max_depth"": 16, ""min_samples_leaf"": 5}",0.5042466801744163,0.49839924112171696,0.49915533031030496,0.33215004141521715,0.3988774023944012
3,tree,"{""max_depth"": 16, ""min_samples_leaf"": 10}",0.5059656626569717,0.499644275804826,0.5010305582937539,0.3307892557093835,0.39848900609386695
4,tree,"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.5065143468540422,0.5023480018659617,0.5258855585831063,0.048015922378405275,0.08799726433375128
4,tree,"{""max_depth"": 3, ""min_samples_leaf"": 5}",0.5065143468540422,0.5023480018659617,0.5258855585831063,0.048015922378405275,0.08799726433375128
4,tree,"{""max_depth"": 3, ""min_samples_leaf"": 10}",0.5065143468540422,0.5023480018659617,0.5258855585831063,0.048015922378405275,0.08799726433375128
4,tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.5073605976951805,0.5036852744518737,0.5024418270611893,0.7614753078741137,0.6054147607862529
4,tree,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.5073605976951805,0.5036852744518737,0.5024418270611893,0.7614753078741137,0.6054147607862529
4,tree,"{""max_depth"": 5, ""min_samples_leaf"": 10}",0.5072350570498583,0.5036230757269476,0.5024009850194951,0.7613509142928225,0.6053457953168657
4,tree,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5137293177101433,0.5067330119732546,0.5057556628295581,0.592984202015176,0.5459074121789916
4,tree,"{""max_depth"": 8, ""min_samples_leaf"": 5}",0.5135195732801102,0.5066397138858654,0.5056721798134012,0.593295185968404,0.5459904985404385
4,tree,"{""max_depth"": 8, ""min_samples_leaf"": 10}",0.5134173646522281,0.5066397138858654,0.5056733828207848,0.5931707923871128,0.5459385196634038
4,tree,"{""max_depth"": 12, ""min_samples_leaf"": 1}",0.5065778802741066,0.5041828642512829,0.5036947835130549,0.572334867520836,0.5358255451713395
4,tree,"{""max_depth"": 12, ""min_samples_leaf"": 5}",0.5068726583210079,0.5043072617011352,0.5037988521453949,0.57326781938052,0.5362930206848399
4,tree,"{""max_depth"": 12, ""min_samples_leaf"": 10}",0.5068347007535874,0.5041517648888197,0.5036764705882353,0.5709043413359871,0.535187452626669
4,tree,"{""max_depth"": 16, ""min_samples_leaf"": 1}",0.5032996176976792,0.499766754781527,0.4997749051385941,0.48333126010697847,0.4914155626521643
4,tree,"{""max_depth"": 16, ""min_samples_leaf"": 5}",0.5017701848045113,0.4993002643445809,0.4992988271290158,0.48718746112700584,0.49316879682679593
4,tree,"{""max_depth"": 16, ""min_samples_leaf"": 10}",0.5028954565532651,0.5004820401181775,0.500515995872033,0.4826470954098768,0.4914191628142613
5,tree,"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.5113750671163524,0.5115255467828297,0.6146245059288538,0.056560880240065475,0.10358897493546507
5,tree,"{""max_depth"": 3, ""min_samples_leaf"": 5}",0.5113750671163524,0.5115255467828297,0.6146245059288538,0.056560880240065475,0.10358897493546507
5,tree,"{""max_depth"": 3, ""min_samples_leaf"": 10}",0.5113750671163524,0.5115255467828297,0.6146245059288538,0.056560880240065475,0.10358897493546507
5,tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.5025879138044885,0.49546238315636626,0.49614217050341514,0.7133763753751023,0.585251221604685
5,tree,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.5025879138044885,0.49546238315636626,0.49614217050341514,0.7133763753751023,0.585251221604685
5,tree,"{""max_depth"": 5, ""min_samples_leaf"": 10}",0.5027555291549036,0.4955531354932389,0.4962039731747438,0.7131945075929799,0.5852329963063836
5,tree,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5000547901195802,0.5096651238769399,0.5125641362978556,0.3542784395744294,0.41896978169695664
5,tree,"{""max_depth"": 8, ""min_samples_leaf"": 5}",0.4996731370949601,0.5094836192031945,0.5123010130246021,0.35409657179230697,0.41875470480696847
