symbol,model,mae,rmse,r2,n_obs
DE,rf,0.0008312330306504892,0.0015303967853067806,0.035171367440871903,192
DECK,rf,0.0016128401069927499,0.002115414583734177,0.07270122556364889,92
DELL,rf,0.001416329207335179,0.0021087213907773814,0.011145604803967202,228
DG,rf,0.0009429983159189109,0.0014353542724563646,0.04526381910654953,226
DGX,rf,0.0010318293664386947,0.001437551348761867,0.02348679285659938,134
DHI,rf,0.000997579036628753,0.0014839521180823802,-0.005681212926696322,167
DHR,rf,0.0008137374419830499,0.001167225560380261,-0.03865758618336157,197
DIS,rf,0.0009200083159013383,0.001474040373562335,0.027129804855372974,233
DLTR,rf,0.0009678962945512574,0.0013950687612451712,-0.015414177152142772,225
DOC,rf,0.001081910480720334,0.0018869771144407177,0.028163313306606375,228
DOV,rf,0.0007185265476489669,0.001040337280416376,-0.0018946829460935177,187
DOW,rf,0.000743422748467013,0.0013338638422617539,0.05834038870686509,222
DPZ,rf,0.0011351909926338767,0.0017345354935604325,-0.06549716357798574,162
DRI,rf,0.0007350235481501681,0.0010561916433894918,0.030009335318083252,216
DTE,rf,0.0009294016639457523,0.0015981954392442102,0.01164003760616461,188
DUK,rf,0.0007845156560512463,0.0012941280587065271,0.03790271202154927,192
DVA,rf,0.0010334849151152998,0.0016661640865204416,0.028915749680370695,123
DVN,rf,0.0007945606460144,0.0013680003091971098,0.07190236510742554,232
DXCM,rf,0.0014255043957046947,0.0020242854600431882,0.017928628274594405,222
EA,rf,0.0007559949365712247,0.0009999075846654083,-0.013119316441898565,115
EBAY,rf,0.0008504551045059447,0.0012783591945193804,-0.0045186674965522755,229
ECL,rf,0.0005967184800867517,0.0010656706758652328,-0.0580367399509194,181
EFX,rf,0.0009307309421874592,0.0014308719209847219,0.07303068663557144,163
EG,rf,0.001394046290008805,0.0020351858188000106,0.05049056764760229,82
EL,rf,0.001559755239414168,0.0027366035098776663,0.059553714518966294,222
ELV,rf,0.0008071480598936095,0.0010765483073217714,-0.003295532257524547,133
EMN,rf,0.0009284917831444362,0.001533717774252532,0.01377486471649858,192
EMR,rf,0.0006474481943912496,0.0008432521885619434,0.07020716744806643,189
ENPH,rf,0.002707217381834874,0.004526054061609323,0.05869373601722139,224
EOG,rf,0.0008661974997941567,0.0014148207632066943,0.08202755615229085,211
EPAM,rf,0.0015814687598871135,0.0025825756821289112,0.04102719045780889,127
EQIX,rf,0.0012567865425345596,0.0018430475610071648,-0.03484983899532712,164
EQT,rf,0.001115259827507911,0.0015327814373015743,0.018516521142955655,233
ERIE,rf,0.0020834915666162433,0.003050023839233163,0.04415111647742376,142
ES,rf,0.0011523019430460851,0.0018430036502860583,0.030478546855654653,219
ESS,rf,0.0015796222766594214,0.002408823117660668,0.13029223713153448,69
ETN,rf,0.0008972555653046189,0.001311501522175185,-0.07007562874385487,207
ETR,rf,0.000788760681879839,0.0011414934299088216,0.042886337645194006,195
EW,rf,0.0010019848822735366,0.0013586123455591808,0.02595225700885695,225
EXC,rf,0.0007547898273687892,0.0011751643847776056,0.026434447304509612,233
EXE,rf,0.0009000462275330391,0.0013397984456796686,0.0432870372399885,218
EXPD,rf,0.0008592175884833147,0.0012174314747605435,-0.00734570553356817,154
EXPE,rf,0.0009740554098471764,0.0013454693687794356,-0.006845748229912241,191
EXR,rf,0.0013753292049743222,0.0020770560360866422,0.02865782096527747,156
F,rf,0.0012040501045538642,0.0021852544174989557,0.015177613870193785,232
