symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
CLX,logreg,0.5232993197278911,0.5,0.4461538461538462,0.4142857142857143,0.42962962962962964,154
CMCSA,logreg,0.4941924172693403,0.5170940170940171,0.75,0.05128205128205128,0.096,234
CMG,logreg,0.6129032258064516,0.5081967213114754,0.5081967213114754,1.0,0.6739130434782609,61
CMI,logreg,0.4907128514056225,0.4692737430167598,0.52,0.13541666666666666,0.21487603305785125,179
CMS,logreg,0.5155677655677655,0.5119617224880383,0.6666666666666666,0.038461538461538464,0.07272727272727272,209
CNC,logreg,0.5807200929152149,0.5394736842105263,0.5,0.01904761904761905,0.03669724770642202,228
CNP,logreg,0.514306784660767,0.5021459227467812,0.2857142857142857,0.017699115044247787,0.03333333333333333,233
COF,logreg,0.5285842293906811,0.4694835680751174,0.7058823529411765,0.1,0.17518248175182483,213
COIN,logreg,0.5557197996222385,0.5405405405405406,0.4845360824742268,0.47474747474747475,0.47959183673469385,222
COO,logreg,0.4985197368421053,0.5,0.4782608695652174,0.2894736842105263,0.36065573770491804,156
COP,logreg,0.5358643457382953,0.4935064935064935,0.55,0.09243697478991597,0.15827338129496402,231
COR,logreg,0.46207364669947393,0.474025974025974,0.5135135135135135,0.4578313253012048,0.4840764331210191,154
COST,logreg,0.5411764705882354,0.4965034965034965,0.48,0.7058823529411765,0.5714285714285714,143
CPAY,logreg,0.5103225806451612,0.48214285714285715,0.5357142857142857,0.4838709677419355,0.5084745762711864,112
CPB,logreg,0.5714038428249956,0.5162790697674419,0.5714285714285714,0.07547169811320754,0.13333333333333333,215
CPRT,logreg,0.512674366281686,0.47619047619047616,0.2857142857142857,0.01694915254237288,0.032,231
CPT,logreg,0.5447779111644658,0.5136612021857924,0.46551724137931033,0.3176470588235294,0.3776223776223776,183
CRL,logreg,0.47980008329862556,0.5,0.5,0.4897959183673469,0.4948453608247423,98
CRM,logreg,0.4609490126731506,0.4892703862660944,0.4772727272727273,0.1794871794871795,0.2608695652173913,233
CRWD,logreg,0.45680725120236776,0.46634615384615385,0.4576271186440678,0.25471698113207547,0.32727272727272727,208
CSCO,logreg,0.4993961352657005,0.5897435897435898,0.5,0.020833333333333332,0.04,234
CSGP,logreg,0.5228194726166329,0.5714285714285714,0.625,0.1724137931034483,0.2702702702702703,126
CSX,logreg,0.47921580188679247,0.5256410256410257,0.2727272727272727,0.02830188679245283,0.05128205128205128,234
CTAS,logreg,0.5333333333333333,0.5480769230769231,0.5411764705882353,0.8518518518518519,0.6618705035971223,104
CTRA,logreg,0.47919999999999996,0.56,0.5555555555555556,0.05,0.09174311926605505,225
CTSH,logreg,0.5066324347454001,0.5642201834862385,0.5,0.042105263157894736,0.07766990291262135,218
CTVA,logreg,0.5700099304865938,0.4772727272727273,0.4444444444444444,0.03508771929824561,0.06504065040650407,220
CVS,logreg,0.48305406020168323,0.4652173913043478,0.4375,0.05785123966942149,0.10218978102189781,230
CVX,logreg,0.5499517374517373,0.5067264573991032,0.5625,0.08035714285714286,0.140625,223
CZR,logreg,0.49095267553356015,0.5394736842105263,0.5294117647058824,0.08490566037735849,0.14634146341463414,228
D,logreg,0.5226415094339623,0.47619047619047616,0.6428571428571429,0.072,0.12949640287769784,231
DAL,logreg,0.5073844336139419,0.4978540772532189,0.7777777777777778,0.05737704918032787,0.10687022900763359,233
DASH,logreg,0.4580873671782763,0.5,0.36666666666666664,0.10476190476190476,0.16296296296296298,226
DAY,logreg,0.5658834586466165,0.4975845410628019,0.42857142857142855,0.28421052631578947,0.34177215189873417,207
DD,logreg,0.47022727272727266,0.5043478260869565,0.16666666666666666,0.00909090909090909,0.017241379310344827,230
DDOG,logreg,0.442002442002442,0.481981981981982,0.32142857142857145,0.08571428571428572,0.13533834586466165,222
DE,logreg,0.4641774891774892,0.47668393782383417,0.5227272727272727,0.4380952380952381,0.47668393782383417,193
DECK,logreg,0.3761595547309833,0.3763440860215054,0.325,0.29545454545454547,0.30952380952380953,93
DELL,logreg,0.4938884644766997,0.5414847161572053,0.5714285714285714,0.18181818181818182,0.27586206896551724,229
DG,logreg,0.4361305361305362,0.4801762114537445,0.47619047619047616,0.08547008547008547,0.14492753623188406,227
DGX,logreg,0.5242077464788731,0.5259259259259259,0.5777777777777777,0.36619718309859156,0.4482758620689655,135
DHI,logreg,0.5461898680289485,0.47023809523809523,0.4166666666666667,0.05747126436781609,0.10101010101010101,168
DHR,logreg,0.5084362139917695,0.5151515151515151,0.3333333333333333,0.06666666666666667,0.1111111111111111,198
DIS,logreg,0.4933284457478006,0.45726495726495725,0.44,0.08870967741935484,0.1476510067114094,234
DLTR,logreg,0.5324790457769181,0.4424778761061947,0.7142857142857143,0.07575757575757576,0.136986301369863,226
DOC,logreg,0.5490465293668956,0.5240174672489083,0.7272727272727273,0.07017543859649122,0.128,229
DOV,logreg,0.45833333333333337,0.46808510638297873,0.47297297297297297,0.3645833333333333,0.4117647058823529,188
DOW,logreg,0.519931939718036,0.5336322869955157,0.4,0.0392156862745098,0.07142857142857142,223
DPZ,logreg,0.48066971080669707,0.50920245398773,0.5609756097560976,0.5111111111111111,0.5348837209302325,163
DRI,logreg,0.4936278674596432,0.511520737327189,0.5294117647058824,0.32727272727272727,0.4044943820224719,217
DTE,logreg,0.4795918367346938,0.4708994708994709,0.5423728813559322,0.3047619047619048,0.3902439024390244,189
DUK,logreg,0.5432774914089347,0.49740932642487046,0.5,0.061855670103092786,0.11009174311926606,193
DVA,logreg,0.5131407754358573,0.49193548387096775,0.5,0.3968253968253968,0.4424778761061947,124
DVN,logreg,0.5298540468819106,0.5107296137339056,0.5,0.03508771929824561,0.06557377049180328,233
DXCM,logreg,0.513317191283293,0.5291479820627802,0.5,0.19047619047619047,0.27586206896551724,223
EA,logreg,0.513030303030303,0.5689655172413793,0.5,0.08,0.13793103448275862,116
EBAY,logreg,0.4797338173018754,0.47391304347826085,0.2222222222222222,0.017241379310344827,0.032,230
ECL,logreg,0.5331481705108079,0.521978021978022,0.53125,0.37362637362637363,0.43870967741935485,182
EFX,logreg,0.5995505617977528,0.5670731707317073,0.527027027027027,0.52,0.5234899328859061,164
EG,logreg,0.48139534883720936,0.5060240963855421,0.4897959183673469,0.6,0.5393258426966292,83
EL,logreg,0.5368192072188205,0.515695067264574,0.6,0.20689655172413793,0.3076923076923077,223
ELV,logreg,0.48994350282485877,0.47761194029850745,0.6,0.2,0.3,134
EMN,logreg,0.5359750859106529,0.538860103626943,0.58,0.29896907216494845,0.3945578231292517,193
EMR,logreg,0.48377777777777775,0.45789473684210524,0.2857142857142857,0.02,0.037383177570093455,190
ENPH,logreg,0.4877528445006321,0.4666666666666667,0.42592592592592593,0.20535714285714285,0.27710843373493976,225
EOG,logreg,0.5425028989385425,0.5094339622641509,0.42105263157894735,0.07920792079207921,0.13333333333333333,212
EPAM,logreg,0.5023244433569856,0.5,0.5294117647058824,0.40298507462686567,0.4576271186440678,128
EQIX,logreg,0.5256218160023973,0.5636363636363636,0.5846153846153846,0.8085106382978723,0.6785714285714286,165
EQT,logreg,0.4890222482435597,0.49145299145299143,0.6,0.07377049180327869,0.13138686131386862,234
ERIE,logreg,0.4653755868544601,0.5104895104895105,0.5121951219512195,0.5833333333333334,0.5454545454545454,143
ES,logreg,0.5273915921880172,0.55,0.7333333333333333,0.10377358490566038,0.18181818181818182,220
ESS,logreg,0.53125,0.5,0.45714285714285713,0.5,0.47761194029850745,70
ETN,logreg,0.4557501621721805,0.46153846153846156,0.4444444444444444,0.11009174311926606,0.17647058823529413,208
ETR,logreg,0.5086951994168489,0.5255102040816326,0.54,0.27835051546391754,0.3673469387755102,196
