y_true,y_pred,y_pred_proba
0,1,0.5678124275583967
0,1,0.5538267697733323
0,1,0.5187004607214032
1,1,0.5471972455778118
1,1,0.6142103800589531
1,1,0.589087032125668
0,1,0.5857685118660236
1,0,0.4944296249981652
0,0,0.1563481851285362
0,1,0.5308526110973513
1,1,0.5340632357823863
1,1,0.5703954465547401
0,1,0.5695751436047082
1,1,0.558338112748172
1,0,0.48344140910884936
0,0,0.48677902796661426
1,1,0.5401809539997999
0,1,0.5449451504455238
0,1,0.5028760388413094
1,1,0.5446019405124561
1,1,0.5302748521464582
0,1,0.5581471310236376
0,1,0.5417112335633493
0,0,0.4997219693765513
0,0,0.4993513797936084
0,1,0.5545926615440391
0,1,0.5370556695041409
1,1,0.5457203493534194
0,1,0.5521450531814702
0,1,0.5200621215960497
1,1,0.5715188728054276
1,1,0.5305659703779444
1,1,0.6090660526483095
1,1,0.5719234188498195
0,0,0.43682459452888095
0,0,0.49537384653191724
0,0,0.4870191786765379
0,1,0.5128534751710563
0,1,0.5587328691650528
0,1,0.5432451816831746
0,1,0.5397782783525996
0,1,0.5232421500911874
1,1,0.505095093119834
0,0,0.4476443390988041
0,1,0.551741663490684
1,1,0.6081919524541842
1,0,0.4848971878789813
1,1,0.5970452654436307
1,0,0.43805148255022336
1,1,0.500900395706347
0,0,0.4455078636090797
0,0,0.45983310168708513
0,0,0.49338638124004375
0,0,0.49790481726435715
1,0,0.47847824476560247
1,1,0.5246913194013119
0,1,0.5136837127851976
0,1,0.5683272142535251
0,1,0.5404577059529517
1,1,0.5472552368764783
0,0,0.4928205307185105
1,0,0.48448842638626455
0,0,0.47768474267396066
0,0,0.4218642269521306
0,1,0.5475317229650973
1,1,0.5011835424333784
0,1,0.5527558355721804
1,1,0.5372733077307325
0,1,0.5523325025756258
0,1,0.5378040240313335
1,1,0.5512811955368582
0,1,0.5370330885047153
0,1,0.5557533331509596
0,1,0.5956047738479605
1,1,0.526412844101156
1,1,0.5655948109403571
1,1,0.580011002438441
0,1,0.5731329526785663
1,0,0.4899064718310207
0,0,0.476490159767775
1,1,0.5053900302596293
1,1,0.5269891830205176
1,1,0.5181967256143687
0,1,0.602464517058447
1,1,0.5119565320825196
0,0,0.4906237718469156
1,0,0.49928642237359694
1,1,0.5201299694410737
1,1,0.538556484858422
1,1,0.5447614590651209
0,1,0.5035343855070145
1,0,0.468249520530005
1,0,0.49740786634864115
0,0,0.449308768016055
0,0,0.4688603865611883
1,0,0.47187284948000036
0,0,0.47667011552528704
0,1,0.5423345598665391
0,1,0.5761385937543353
1,0,0.499976823310683
0,1,0.5401828601509948
0,0,0.49631173928386574
1,1,0.5855360237764262
1,1,0.537176441396541
1,1,0.5882869054149485
0,0,0.3579865754640245
0,0,0.47220798913830536
0,0,0.47875677830584523
0,1,0.5559067887512501
0,1,0.5318099264780083
0,1,0.5376340000624679
1,1,0.5173254810703644
1,1,0.5358389624350154
1,1,0.5423003256927299
0,1,0.5417732987762993
1,1,0.508138549496825
0,1,0.503902698346571
1,0,0.49983684147537066
0,1,0.5074622464565357
1,1,0.5376733940298738
1,1,0.5117876786348038
1,1,0.5438901951861663
0,1,0.5277591709171137
0,1,0.5199427718377344
1,0,0.4306199991521779
0,0,0.49111534021648895
1,1,0.5112272961179236
1,1,0.5315707588062101
0,1,0.5550513733644399
0,1,0.5609831435194438
1,1,0.5431758072806114
1,1,0.5309852036474704
1,1,0.5308853265981287
0,1,0.5225627508610055
1,1,0.5566326645239815
1,1,0.5042907279785441
1,1,0.5198429080530251
0,1,0.5132137613501119
1,1,0.5438177131732643
1,1,0.5387409223862304
0,1,0.5133910486705102
1,1,0.5252901225685659
1,1,0.5155139252946965
0,1,0.5137478744298789
1,1,0.5216791684311596
0,1,0.5260942332451233
1,1,0.5383200648229122
1,0,0.482796582986779
0,1,0.5051566191551382
0,1,0.5395671864537092
1,1,0.5393634742593213
0,1,0.5011999199657193
0,1,0.5263583338647273
1,1,0.5296542890108354
0,0,0.492956110733276
1,1,0.552441350762217
1,1,0.5401815836953991
0,1,0.553185349363723
0,1,0.5696708093468719
0,0,0.49246235626975293
0,0,0.47623270499399595
0,0,0.49324343428918893
0,1,0.5578128397242097
1,1,0.5624050356266725
1,1,0.5466991737532901
0,1,0.5394380342523994
1,1,0.5520592949155992
1,1,0.5075781762105852
0,1,0.5040164082629236
0,0,0.4986219675234036
0,0,0.4911004748499015
1,0,0.4421503195225144
1,1,0.5090132894004076
1,1,0.5437776985165025
1,1,0.5510992534140866
1,1,0.5006288480135931
0,0,0.4746694647618356
1,1,0.5062667671976865
0,1,0.5074720832942458
0,1,0.514391696117643
1,1,0.5367411195030205
1,1,0.5406938376135618
0,0,0.4896643368807237
0,1,0.5531838113873195
0,1,0.5297940242040436
0,1,0.5070089704589494
0,1,0.5597399032458433
1,1,0.5619994832058317
0,1,0.5509006509311888
1,1,0.546509206564552
0,1,0.5306978155950204
0,1,0.5183219405561409
1,1,0.5635612044872472
1,1,0.5150912803323774
0,1,0.5362283826270673
0,1,0.5117721967741374
1,1,0.5526348399815778
1,1,0.5117594926196116
0,1,0.5174897907166087
