symbol,rows,coverage_pct,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct
EXR,14836,0.7547822547822548,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AON,14838,0.7548840048840049,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ITW,14841,0.75503663003663,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DTE,14850,0.7554945054945055,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HPQ,14894,0.7577330077330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRV,14935,0.7598188848188848,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DAL,14938,0.75997150997151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJF,14949,0.7605311355311355,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SPG,14972,0.7617012617012617,0.0,0.0,0.0,0.0,0.0,1.0,1.0
KHC,14975,0.7618538868538869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULTA,14988,0.7625152625152625,0.0,0.0,0.0,0.0,0.0,1.0,1.0
XYZ,14991,0.7626678876678876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEC,15004,0.7633292633292633,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DELL,15008,0.7635327635327636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JBHT,15012,0.7637362637362637,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LKQ,15026,0.7644485144485145,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRO,15045,0.7654151404151404,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AMGN,15073,0.7668396418396418,0.0,0.0,0.0,0.0,0.0,1.0,1.0
OTIS,15073,0.7668396418396418,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LUV,15080,0.7671957671957672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME,15090,0.7677045177045178,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IRM,15099,0.7681623931623932,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GPN,15101,0.7682641432641433,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TRMB,15102,0.7683150183150184,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WYNN,15110,0.7687220187220187,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MNST,15118,0.7691290191290191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISRG,15130,0.7697395197395197,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CSGP,15134,0.76994301994302,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WELL,15142,0.7703500203500203,0.0,0.0,0.0,0.0,0.0,1.0,1.0
REG,15145,0.7705026455026455,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WSM,15145,0.7705026455026455,0.0,0.0,0.0,0.0,0.0,1.0,1.0
APD,15166,0.7715710215710215,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BXP,15176,0.7720797720797721,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EQT,15189,0.7727411477411478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJM,15199,0.7732498982498982,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CRM,15205,0.7735551485551485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDP,15235,0.7750814000814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,15245,0.7755901505901506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
