symbol,days,bars_found_total,bars_expected_total,pct_coverage,outlier_ret_count,outlier_vol_count,rows,ohlc_violations,vwap_outside,neg_volume_rows,nan_open,nan_high,nan_low,nan_close,nan_volume,nan_vwap,nan_trade_count,year,month
EXPE,21,1588,1638,0.9694749694749695,11,0,1588,0,0,0,,,,,,,,2024,1
BEN,21,1588,1638,0.9694749694749695,11,0,1588,0,0,0,,,,,,,,2024,1
TJX,21,1588,1638,0.9694749694749695,4,0,1588,0,0,0,,,,,,,,2024,1
NI,21,1588,1638,0.9694749694749695,5,0,1588,0,0,0,,,,,,,,2024,1
JNJ,21,1587,1638,0.9688644688644689,11,0,1587,0,0,0,,,,,,,,2024,1
CTVA,21,1587,1638,0.9688644688644689,10,0,1587,0,0,0,,,,,,,,2024,1
VLO,21,1587,1638,0.9688644688644689,11,0,1587,0,0,0,,,,,,,,2024,1
UNP,21,1586,1638,0.9682539682539683,8,0,1586,0,0,0,,,,,,,,2024,1
UDR,21,1586,1638,0.9682539682539683,8,0,1586,0,0,0,,,,,,,,2024,1
DXCM,21,1583,1638,0.9664224664224664,18,0,1583,0,0,0,,,,,,,,2024,1
MET,21,1582,1638,0.9658119658119658,7,0,1582,0,0,0,,,,,,,,2024,1
APTV,21,1582,1638,0.9658119658119658,12,0,1582,0,0,0,,,,,,,,2024,1
CRWD,21,1581,1638,0.9652014652014652,19,0,1581,0,0,0,,,,,,,,2024,1
IPG,21,1581,1638,0.9652014652014652,8,0,1581,0,0,0,,,,,,,,2024,1
BK,21,1581,1638,0.9652014652014652,8,0,1581,0,0,0,,,,,,,,2024,1
GE,21,1580,1638,0.9645909645909646,11,0,1580,0,0,0,,,,,,,,2024,1
CNP,21,1579,1638,0.963980463980464,9,0,1579,0,0,0,,,,,,,,2024,1
LOW,21,1578,1638,0.9633699633699634,8,0,1578,0,0,0,,,,,,,,2024,1
CNC,21,1578,1638,0.9633699633699634,12,0,1578,0,0,0,,,,,,,,2024,1
DD,21,1577,1638,0.9627594627594628,14,0,1577,0,0,0,,,,,,,,2024,1
WY,21,1576,1638,0.9621489621489622,11,0,1576,0,0,0,,,,,,,,2024,1
TGT,21,1576,1638,0.9621489621489622,3,0,1576,0,0,0,,,,,,,,2024,1
UPS,21,1575,1638,0.9615384615384616,12,0,1575,0,0,0,,,,,,,,2024,1
CZR,21,1574,1638,0.960927960927961,12,1,1574,0,0,0,,,,,,,,2024,1
SYY,21,1573,1638,0.9603174603174603,7,0,1573,0,0,0,,,,,,,,2024,1
INVH,21,1572,1638,0.9597069597069597,9,0,1572,0,0,0,,,,,,,,2024,1
OTIS,21,1572,1638,0.9597069597069597,11,0,1572,0,0,0,,,,,,,,2024,1
AMCR,21,1572,1638,0.9597069597069597,9,0,1572,0,0,0,,,,,,,,2024,1
EOG,21,1571,1638,0.9590964590964591,5,0,1571,0,0,0,,,,,,,,2024,1
IBM,21,1568,1638,0.9572649572649573,11,0,1568,0,0,0,,,,,,,,2024,1
FOXA,21,1567,1638,0.9566544566544567,6,0,1567,0,0,0,,,,,,,,2024,1
DHI,21,1567,1638,0.9566544566544567,14,0,1567,0,0,0,,,,,,,,2024,1
DASH,21,1566,1638,0.9560439560439561,8,0,1566,0,0,0,,,,,,,,2024,1
AIG,21,1565,1638,0.9554334554334555,8,0,1565,0,0,0,,,,,,,,2024,1
JBL,21,1565,1638,0.9554334554334555,10,0,1565,0,0,0,,,,,,,,2024,1
GEHC,21,1561,1638,0.9529914529914529,12,0,1561,0,0,0,,,,,,,,2024,1
HD,21,1560,1638,0.9523809523809523,7,0,1560,0,0,0,,,,,,,,2024,1
DUK,21,1558,1638,0.9511599511599511,4,0,1558,0,0,0,,,,,,,,2024,1
HWM,21,1558,1638,0.9511599511599511,8,0,1558,0,0,0,,,,,,,,2024,1
UNH,21,1558,1638,0.9511599511599511,11,0,1558,0,0,0,,,,,,,,2024,1
K,21,1558,1638,0.9511599511599511,6,0,1558,0,0,0,,,,,,,,2024,1
ADI,21,1558,1638,0.9511599511599511,8,0,1558,0,0,0,,,,,,,,2024,1
GEN,21,1557,1638,0.9505494505494505,8,0,1557,0,0,0,,,,,,,,2024,1
OKE,21,1557,1638,0.9505494505494505,7,0,1557,0,0,0,,,,,,,,2024,1
TEL,21,1556,1638,0.9499389499389499,17,0,1556,0,0,0,,,,,,,,2024,1
PANW,21,1554,1638,0.9487179487179487,11,0,1554,0,0,0,,,,,,,,2024,1
PSX,21,1553,1638,0.9481074481074481,16,1,1553,0,0,0,,,,,,,,2024,1
HON,21,1553,1638,0.9481074481074481,15,0,1553,0,0,0,,,,,,,,2024,1
EQR,21,1551,1638,0.9468864468864469,9,0,1551,0,0,0,,,,,,,,2024,1
KKR,21,1550,1638,0.9462759462759462,9,0,1550,0,0,0,,,,,,,,2024,1
HSIC,21,1548,1638,0.945054945054945,3,0,1548,0,0,0,,,,,,,,2024,1
IP,21,1547,1638,0.9444444444444444,10,0,1547,0,0,0,,,,,,,,2024,1
CPB,21,1545,1638,0.9432234432234432,9,0,1545,0,0,0,,,,,,,,2024,1
MKC,21,1545,1638,0.9432234432234432,13,0,1545,0,0,0,,,,,,,,2024,1
CARR,21,1545,1638,0.9432234432234432,9,0,1545,0,0,0,,,,,,,,2024,1
NXPI,21,1544,1638,0.9426129426129426,11,0,1544,0,0,0,,,,,,,,2024,1
SRE,21,1543,1638,0.942002442002442,10,0,1543,0,0,0,,,,,,,,2024,1
APO,21,1543,1638,0.942002442002442,12,0,1543,0,0,0,,,,,,,,2024,1
ALB,21,1541,1638,0.9407814407814408,10,0,1541,0,0,0,,,,,,,,2024,1
EXE,21,1541,1638,0.9407814407814408,12,0,1541,0,0,0,,,,,,,,2024,1
VST,21,1541,1638,0.9407814407814408,3,0,1541,0,0,0,,,,,,,,2024,1
HUM,21,1539,1638,0.9395604395604396,19,0,1539,0,0,0,,,,,,,,2024,1
PLD,21,1538,1638,0.938949938949939,11,0,1538,0,0,0,,,,,,,,2024,1
RCL,21,1536,1638,0.9377289377289377,8,0,1536,0,0,0,,,,,,,,2024,1
ED,21,1536,1638,0.9377289377289377,4,0,1536,0,0,0,,,,,,,,2024,1
ACN,21,1535,1638,0.9371184371184371,11,0,1535,0,0,0,,,,,,,,2024,1
DG,21,1535,1638,0.9371184371184371,3,0,1535,0,0,0,,,,,,,,2024,1
BAX,21,1535,1638,0.9371184371184371,10,0,1535,0,0,0,,,,,,,,2024,1
EMR,21,1535,1638,0.9371184371184371,14,0,1535,0,0,0,,,,,,,,2024,1
HRL,21,1534,1638,0.9365079365079365,7,0,1534,0,0,0,,,,,,,,2024,1
TSCO,21,1533,1638,0.9358974358974359,0,0,1533,0,0,0,,,,,,,,2024,1
BBY,21,1533,1638,0.9358974358974359,10,0,1533,0,0,0,,,,,,,,2024,1
EVRG,21,1531,1638,0.9346764346764347,3,0,1531,0,0,0,,,,,,,,2024,1
ZBH,21,1531,1638,0.9346764346764347,19,0,1531,0,0,0,,,,,,,,2024,1
EIX,21,1531,1638,0.9346764346764347,4,0,1531,0,0,0,,,,,,,,2024,1
CCI,21,1531,1638,0.9346764346764347,11,0,1531,0,0,0,,,,,,,,2024,1
AMT,21,1530,1638,0.9340659340659341,5,0,1530,0,0,0,,,,,,,,2024,1
CME,21,1528,1638,0.9328449328449329,9,0,1528,0,0,0,,,,,,,,2024,1
AEP,21,1527,1638,0.9322344322344323,5,0,1527,0,0,0,,,,,,,,2024,1
SMCI,21,1526,1638,0.9316239316239316,18,0,1526,0,0,0,,,,,,,,2024,1
NDAQ,21,1520,1638,0.927960927960928,10,0,1520,0,0,0,,,,,,,,2024,1
IR,21,1519,1638,0.9273504273504274,7,0,1519,0,0,0,,,,,,,,2024,1
LNT,21,1514,1638,0.9242979242979243,8,0,1514,0,0,0,,,,,,,,2024,1
MA,21,1512,1638,0.9230769230769231,12,0,1512,0,0,0,,,,,,,,2024,1
APH,21,1512,1638,0.9230769230769231,13,0,1512,0,0,0,,,,,,,,2024,1
MMM,21,1510,1638,0.9218559218559218,9,0,1510,0,0,0,,,,,,,,2024,1
MRNA,21,1507,1638,0.92002442002442,19,0,1507,0,0,0,,,,,,,,2024,1
LEN,21,1507,1638,0.92002442002442,12,0,1507,0,0,0,,,,,,,,2024,1
STX,21,1505,1638,0.9188034188034188,7,0,1505,0,0,0,,,,,,,,2024,1
FI,21,1503,1638,0.9175824175824175,13,0,1503,0,0,0,,,,,,,,2024,1
KMX,21,1503,1638,0.9175824175824175,10,0,1503,0,0,0,,,,,,,,2024,1
CF,21,1502,1638,0.9169719169719169,11,0,1502,0,0,0,,,,,,,,2024,1
CMS,21,1502,1638,0.9169719169719169,7,0,1502,0,0,0,,,,,,,,2024,1
ICE,21,1497,1638,0.9139194139194139,5,0,1497,0,0,0,,,,,,,,2024,1
ZTS,21,1495,1638,0.9126984126984127,9,0,1495,0,0,0,,,,,,,,2024,1
GPN,21,1494,1638,0.9120879120879121,7,0,1494,0,0,0,,,,,,,,2024,1
AEE,21,1494,1638,0.9120879120879121,5,0,1494,0,0,0,,,,,,,,2024,1
SHW,21,1493,1638,0.9114774114774115,6,0,1493,0,0,0,,,,,,,,2024,1
KMB,21,1492,1638,0.9108669108669109,8,0,1492,0,0,0,,,,,,,,2024,1
AXP,21,1492,1638,0.9108669108669109,13,0,1492,0,0,0,,,,,,,,2024,1
MCD,21,1492,1638,0.9108669108669109,11,0,1492,0,0,0,,,,,,,,2024,1
TSN,21,1491,1638,0.9102564102564102,9,0,1491,0,0,0,,,,,,,,2024,1
FSLR,21,1490,1638,0.9096459096459096,11,0,1490,0,0,0,,,,,,,,2024,1
DLTR,21,1489,1638,0.909035409035409,4,0,1489,0,0,0,,,,,,,,2024,1
BF.B,21,1489,1638,0.909035409035409,9,0,1489,0,0,0,,,,,,,,2024,1
CTSH,21,1488,1638,0.9084249084249084,10,0,1488,0,0,0,,,,,,,,2024,1
MMC,21,1487,1638,0.9078144078144078,11,0,1487,0,0,0,,,,,,,,2024,1
CAT,21,1483,1638,0.9053724053724054,10,0,1483,0,0,0,,,,,,,,2024,1
PHM,21,1482,1638,0.9047619047619048,14,0,1482,0,0,0,,,,,,,,2024,1
PPG,21,1479,1638,0.9029304029304029,13,0,1479,0,0,0,,,,,,,,2024,1
CAH,21,1477,1638,0.9017094017094017,8,0,1477,0,0,0,,,,,,,,2024,1
YUM,21,1475,1638,0.9004884004884005,10,0,1475,0,0,0,,,,,,,,2024,1
PGR,21,1469,1638,0.8968253968253969,11,0,1469,0,0,0,,,,,,,,2024,1
ROST,21,1469,1638,0.8968253968253969,7,0,1469,0,0,0,,,,,,,,2024,1
WDAY,21,1469,1638,0.8968253968253969,7,0,1469,0,0,0,,,,,,,,2024,1
HOLX,21,1468,1638,0.8962148962148963,8,0,1468,0,0,0,,,,,,,,2024,1
PNC,21,1466,1638,0.894993894993895,8,0,1466,0,0,0,,,,,,,,2024,1
LYV,21,1466,1638,0.894993894993895,9,0,1466,0,0,0,,,,,,,,2024,1
CHD,21,1466,1638,0.894993894993895,3,0,1466,0,0,0,,,,,,,,2024,1
BRO,21,1466,1638,0.894993894993895,13,0,1466,0,0,0,,,,,,,,2024,1
VTR,21,1463,1638,0.8931623931623932,10,0,1463,0,0,0,,,,,,,,2024,1
CI,21,1462,1638,0.8925518925518926,14,0,1462,0,0,0,,,,,,,,2024,1
LIN,21,1460,1638,0.8913308913308914,11,0,1460,0,0,0,,,,,,,,2024,1
LLY,21,1460,1638,0.8913308913308914,14,0,1460,0,0,0,,,,,,,,2024,1
TMO,21,1459,1638,0.8907203907203908,14,0,1459,0,0,0,,,,,,,,2024,1
WELL,21,1458,1638,0.8901098901098901,7,0,1458,0,0,0,,,,,,,,2024,1
DLR,21,1456,1638,0.8888888888888888,12,0,1456,0,0,0,,,,,,,,2024,1
ETN,21,1455,1638,0.8882783882783882,10,0,1455,0,0,0,,,,,,,,2024,1
SWKS,21,1454,1638,0.8876678876678876,8,0,1454,0,0,0,,,,,,,,2024,1
PNR,21,1452,1638,0.8864468864468864,11,0,1452,0,0,0,,,,,,,,2024,1
LYB,21,1452,1638,0.8864468864468864,7,0,1452,0,0,0,,,,,,,,2024,1
PCAR,21,1452,1638,0.8864468864468864,11,0,1452,0,0,0,,,,,,,,2024,1
REG,21,1449,1638,0.8846153846153846,9,0,1449,0,0,0,,,,,,,,2024,1
LHX,21,1449,1638,0.8846153846153846,7,0,1449,0,0,0,,,,,,,,2024,1
FANG,21,1448,1638,0.884004884004884,8,0,1448,0,0,0,,,,,,,,2024,1
ANET,21,1448,1638,0.884004884004884,13,0,1448,0,0,0,,,,,,,,2024,1
STZ,21,1448,1638,0.884004884004884,8,0,1448,0,0,0,,,,,,,,2024,1
STT,21,1447,1638,0.8833943833943834,14,0,1447,0,0,0,,,,,,,,2024,1
BG,21,1444,1638,0.8815628815628815,6,0,1444,0,0,0,,,,,,,,2024,1
NUE,21,1443,1638,0.8809523809523809,7,0,1443,0,0,0,,,,,,,,2024,1
BXP,21,1441,1638,0.8797313797313797,11,0,1441,0,0,0,,,,,,,,2024,1
CB,21,1438,1638,0.8778998778998779,10,0,1438,0,0,0,,,,,,,,2024,1
NWSA,21,1437,1638,0.8772893772893773,12,0,1437,0,0,0,,,,,,,,2024,1
MAS,21,1437,1638,0.8772893772893773,10,0,1437,0,0,0,,,,,,,,2024,1
AON,21,1437,1638,0.8772893772893773,13,0,1437,0,0,0,,,,,,,,2024,1
TRGP,21,1434,1638,0.8754578754578755,8,0,1434,0,0,0,,,,,,,,2024,1
LW,21,1432,1638,0.8742368742368742,11,0,1432,0,0,0,,,,,,,,2024,1
A,21,1426,1638,0.8705738705738706,10,0,1426,0,0,0,,,,,,,,2024,1
EXR,21,1425,1638,0.86996336996337,10,0,1425,0,0,0,,,,,,,,2024,1
NTAP,21,1425,1638,0.86996336996337,8,0,1425,0,0,0,,,,,,,,2024,1
GS,21,1425,1638,0.86996336996337,16,0,1425,0,0,0,,,,,,,,2024,1
